Date;1COV;ADS;ALV;BAS;BAYN;BEI;BMW;CON;DAI;DB1;DBK;DPW;DTE;EOAN;FME;FRE;HEI;HEN3;IFX;LHA;LIN;MRK;MUV2;RWE;SAP;SIE;TKA;VNA;VOW3;WDI
2018-04-01;-0,1515087287;0,0822784659;-0,0417972845;-0,0454861216;-0,0368313345;0,049498141;0,0202546292;-0,0031110978;-0,0190584133;0,0077448565;-0,1354198473;-0,0520416586;0,002269289;0,0821835633;-0,0473018955;-0,0681681252;-0,0353083205;-0,0192748881;-0,0255490375;-0,059122198;0;-0,0465115684;0,0294358631;0,2246642384;-0,0037519052;-0,0414815093;-0,0510523511;0,0730472446;0,0048567806;-0,0236156357
2018-05-01;-0,0538442643;0,0368675323;0,0712105421;0,0466836298;0,0815995434;0,0206476968;0,0490073613;-0,0138208023;-0,0503117435;0,0094937072;0,003531697;0,0163287725;0,0939622642;0,0057649667;0,0156663769;0,020625185;0,0185510531;-0,0135703886;-0,0211591076;-0,068234423;0;0,042618728;0,0058246808;-0,0092222836;0,0876779677;0,0204791544;0,0193487013;0,0337888447;0,0648159045;0,1791075934
2018-06-01;0,0333510332;-0,0456105359;-0,09396318;-0,0165662766;0,0288021936;0,0483390236;-0,0720233906;-0,0135623872;-0,0529771145;0,0313479618;-0,179658631;-0,0919667364;-0,0845119007;0,0008818342;0,0168485764;0,0461004421;-0,0639921717;0,0047438329;0,1066728333;-0,033926355;0;0,0815069554;-0,0629112776;-0,0201257862;0,0503138076;0,0630443399;0,0481481019;-0,0249940153;-0,0601722314;0,1759505071
2018-07-01;-0,0361168024;-0,0516444126;-0,017415764;-0,0481799511;-0,0673033783;-0,0211253506;-0,1015033237;-0,1207607303;-0,1141382898;-0,0212766388;-0,0271342771;-0,1571079975;-0,007535795;-0,0066079295;-0,0077012371;0,0211289158;-0,0638969383;0,0207742772;-0,0955414053;-0,129764454;0;-0,0621584614;0,0050561461;-0,0059049551;0,0095807149;-0,006233348;-0,0795052597;-0,0036973626;-0,1269349845;0,0135338571
2018-08-01;0,0946052991;0,0265510372;0,0840480989;0,0148514475;0,0134400213;0,0356920845;0,0861219218;0,0320562617;0,0809827283;0,0013309761;0,2402160732;0,0995295005;0,0736522399;0,0720620843;-0,031514581;-0,0230565461;0,0196629362;-0,0055503979;0,0953052157;0,1924212598;0;0,0682204808;0,0645612263;0,1585743203;0,0178571429;0,0847670266;0,0590211132;0,0254825099;0,0992907801;0,1906527925
2018-09-01;-0,112405855;0,130113536;-0,033860827;-0,0315853171;-0,1498790096;0,004307754;-0,0094339744;-0,2060606212;-0,0639731292;0,0544971388;-0,1395555556;0,0289664591;-0,0180339463;-0,0558428128;0,0563380153;-0,0105899549;-0,0586777151;0,0195348651;-0,0638662666;-0,0747007842;0;0,02727275;-0,0254659547;-0,0312082033;0,0327819248;-0,0768213791;-0,1026280018;0,0663449924;-0,1024516452;0,1990654019
2018-10-01;-0,0399344349;-0,0158804713;0,0534993087;-0,0348823179;-0,0492756735;-0,0310224539;-0,0603977719;-0,0445292629;-0,0205035799;-0,0340336387;0,0108471074;-0,019193858;0;-0,0415115005;0,0209195402;-0,0330275219;-0,0125840364;-0,079379527;-0,1027930861;-0,0731489295;0;-0,0154867474;0,0253232589;-0,0243901979;0,02912056;-0,0153901304;0,1032567533;-0,0477375781;0,0927257725;-0,0205247964
2018-11-01;-0,1866096803;-0,013289051;-0,0465332998;-0,1127348527;-0,1138168757;-0,0603253043;-0,0182192066;-0,0292942349;-0,0409474668;-0,0287080912;-0,1170158406;-0,0903457599;0,0428519986;-0,0242258028;-0,2213464985;-0,1097407144;-0,1108476981;-0,0453914956;-0,0923704564;-0,147257067;0,9095577266;0,0633707753;-0,0052548607;-0,1893868779;-0,109696268;-0,0779716641;-0,152173913;-0,0427654787;-0,0198658329;-0,1228116393
2018-12-01;-0,0718038204;-0,0476190201;0,0364130272;-0,0191176912;-0,0301249509;0,0407537362;0,0023523263;-0,0569273171;-0,0005743634;0,0255261796;-0,0394675926;0,0254571899;0,0749309392;0,0665183277;0,0546558384;-0,0912966091;-0,0083333333;0,0766195702;0,1385999438;0,2341987717;-0,014133078;0,0371936289;0,0258848068;0,1265639876;-0,0182222801;0,0238517448;-0,0869095277;0,0622982859;0,0402684564;-0,1578470218
2019-01-01;-0,1852830189;-0,0787879091;-0,0815941177;-0,0944527029;-0,0824242273;-0,0404210105;-0,0782268609;-0,1218181818;-0,1204981011;-0,0834061397;-0,1605012652;-0,163986014;-0,047863797;-0,0527067091;-0,2234713813;-0,1716184324;-0,1028571261;-0,0800385269;-0,1424691358;-0,0992226749;-0,0311188601;-0,0833333401;-0,018795026;-0,0204029432;-0,0619401977;-0,0625722005;-0,1143955593;-0,0749999784;-0,1037419484;-0,0463195476
2019-02-01;0,119962969;0,1228070709;0,0578965402;0,0587748159;0,0980845261;-0,0419044299;0,0431400726;0,1432712464;0,1431060771;0,1081467968;0,1195636572;0,0798828942;-0,0411605938;0,1278544106;0,1430084594;0,0764511072;0,1337579405;-0,1123689914;0,1189173625;0,1248730393;0,0234572351;0,0206711818;0,0228286063;0,1468494595;0,0422178534;-0,0180734653;0,0347129506;0,1240212175;0,0693924571;0,0967619782
